ip,event_count,country,isp,abuseipdb_score,total_reports,is_malicious
102.113.245.130,296388,MU,Mauritius Telecom Ltd,15,2,False
202.29.70.1,103168,TH,Office of Info.Tech. Admin. for Educational Development,66,60,True
120.55.127.179,14877,CN,"Aliyun Computing Co., LTD",100,127,True
45.153.34.112,7836,NL,VMHeaven.io,100,4104,True
176.65.132.17,3918,DE,VMHeaven.io,100,4189,True
176.65.132.24,3918,DE,VMHeaven.io,100,4058,True
192.109.200.237,3918,DE,Telco power Ltd,100,4504,True
192.109.200.78,3918,DE,Telco power Ltd,100,4121,True
45.156.87.253,3918,NL,VMHeaven.io,100,4013,True
176.65.132.129,3918,DE,VMHeaven.io,100,3977,True
45.156.87.254,3918,NL,VMHeaven.io,100,4231,True
45.154.244.2,3654,CN,Shereverov Marat Ahmedovich,100,976,True
141.148.175.56,2444,US,Oracle Corporation,100,3337,True
193.32.162.151,2206,RO,UNMANAGED LTD,100,52206,True
83.168.110.83,2203,PL,Virtual Private Server,100,558,True
47.86.95.62,2203,HK,ALIBABA CLOUD - HK,100,173,True
36.50.54.248,2198,VN,INTERDIGI JOINT STOCK COMPANY,100,141,True
157.254.192.75,2175,TH,RDCW Company Limited,100,157,True
138.2.98.41,2010,SG,Oracle Corporation,100,1183,True
129.153.145.135,1985,US,Oracle Corporation,100,2711,True
129.213.137.74,1920,US,Oracle Public Cloud,100,2119,True
64.110.90.250,1694,KR,Oracle Corporation,100,1319,True
144.22.238.238,1465,BR,Oracle Corporation,100,2079,True
2.57.121.25,1463,RO,UNMANAGED LTD,100,267539,True
20.203.42.204,1459,AE,Microsoft Corporation,100,30701,True
2.57.121.112,1436,RO,UNMANAGED LTD,100,273864,True
213.209.159.56,1258,DE,Feo Prest SRL,100,73722,True
8.218.120.171,1247,HK,Alibaba Cloud (Singapore) Private Limited,100,367,True
129.211.8.154,1140,CN,"Tencent Cloud Computing (Beijing) Co., Ltd",71,41,True
45.148.10.121,1095,NL,TECHOFF SRV LIMITED,100,78250,True
165.1.75.106,900,US,Oracle Corporation,100,900,True
147.50.227.79,850,TH,CS Loxinfo Public Company Limited,100,7233,True
95.85.226.199,758,NL,1Cent Host,100,2693,True
80.94.92.186,756,RO,TECHOFF SRV LIMITED,100,52002,True
138.2.232.2,750,US,Oracle Corporation,100,2144,True
130.12.180.51,742,DE,Virtualine Technologies,100,2548,True
